info,num_bathroom,title,url,price,pid,num_bedroom,pid1,latitude,longitude,date,pid2
,,Monroe Large Studio by OSU/Downtown/Utilities included/Free Parking,https://corvallis.craigslist.org/apa/6022521463.html,$610,6022521463,,,,,Mar 20,
"
                    1br -
                    900ft, -
                ",,One bedroom duplex.,https://corvallis.craigslist.org/apa/6052359041.html,$750,6052359041,,,,,Mar 20,
"
                    4br -
                    1100ft, -
                ",,"Pre-lease a bedroom close to OSU for Fall of 2017, today!",https://corvallis.craigslist.org/apa/6052345933.html,$680,6052345933,,,,,Mar 20,
"
                    1br -
                    728ft, -
                ",,Amazing 1 bedrooms available now! Ask about our limited time special!,https://corvallis.craigslist.org/apa/6052324902.html,$1000,6052324902,,,,,Mar 20,
"
                    3br -
                    1863ft, -
                ",,Brand new upscale Condos near the Hospital - pets OK 3 bed 2.5 bath,https://corvallis.craigslist.org/apa/6052292117.html,$2300,6052292117,,,,,Mar 20,
"
                    2br -
                    700ft, -
                ",,*price reduction* $875,https://corvallis.craigslist.org/apa/6052276712.html,$875,6052276712,,,,,Mar 20,
"
                    360ft, -
                ",,STUDIO FOR RENT,https://corvallis.craigslist.org/apa/6052275766.html,$560,6052275766,,,,,Mar 20,
"
                    1br -
                    550ft, -
                ",,Walking distance to campus!,https://corvallis.craigslist.org/apa/6052275288.html,$700,6052275288,,,,,Mar 20,
"
                    3br -
                    1373ft, -
                ",,Beautiful Home Close to Parks and Schools,https://corvallis.craigslist.org/apa/6052268041.html,$1450,6052268041,,,,,Mar 20,
"
                    5br -
                    2566ft, -
                ",,$500 off March-April-May Campus Close,https://corvallis.craigslist.org/apa/6052267210.html,$2695,6052267210,,,,,Mar 20,
"
                    3br -
                    1568ft, -
                ",,3 Bedroom plus HOME Campus Close,https://corvallis.craigslist.org/apa/6052265972.html,$1995,6052265972,,,,,Mar 20,
"
                    3br -
                ",,3 Bedroom 1 bath House for rent in South Corvallis,https://corvallis.craigslist.org/apa/6038213268.html,$1650,6038213268,,,,,Mar 20,
"
                    4br -
                    2552ft, -
                ",,Pre lease for fall term before 3/31/17 & get $100 off per month!!!,https://corvallis.craigslist.org/apa/6052248143.html,$3195,6052248143,,,,,Mar 20,
"
                    2br -
                    883ft, -
                ",,Quiet 2 Bedroom Pet Friendly House Close to Campus ~ 836 NW 34th,https://corvallis.craigslist.org/apa/6052228733.html,$1195,6052228733,,,,,Mar 20,
"
                    2br -
                    957ft, -
                ",,2 bed 2 bath - pre lease for fall term & get your $50 off per month!!!,https://corvallis.craigslist.org/apa/6052236495.html,$1650,6052236495,,,,,Mar 20,
"
                    475ft, -
                ",,Promotional offer ends 3/31/2017 Lease your studio for fall term today,https://corvallis.craigslist.org/apa/6052228972.html,$950,6052228972,,,,,Mar 20,
"
                    1br -
                    480ft, -
                ",,PRE-LEASE FOR APRIL MOVE-IN!!! APPLY TODAY!!,https://corvallis.craigslist.org/apa/6034228871.html,$825,6034228871,,,,,Mar 20,
"
                    2br -
                    960ft, -
                ",,MAKE THE MOVE to PARKWEST!,https://corvallis.craigslist.org/apa/6027887306.html,$1220,6027887306,,,,,Mar 20,
"
                    4br -
                    2500ft, -
                ",,4 bed 3 bath !!! PRE-lease TODAY!!!,https://corvallis.craigslist.org/apa/6052205222.html,$3195,6052205222,,,,,Mar 20,
"
                    1br -
                ",,College Court - 9 Minute Walk to OSU!,https://corvallis.craigslist.org/apa/6052205007.html,$850,6052205007,,,,,Mar 20,
"
                    1br -
                    672ft, -
                ",,Pleasant 1 Bedroom Near 9th Street ~ 3220 NE Lancaster # 4,https://corvallis.craigslist.org/apa/6052176781.html,$750,6052176781,,,,,Mar 20,
"
                    360ft, -
                ",,GET ON THE WAIT LIST TODAY!,https://corvallis.craigslist.org/apa/6052195766.html,$560,6052195766,,,,,Mar 20,
"
                    1br -
                    600ft, -
                ",,1 Bedroom Small Pet Friendly Apartment Near Campus~1961 NW Grant #1,https://corvallis.craigslist.org/apa/6052195016.html,$825,6052195016,,,,,Mar 20,
"
                    2br -
                    900ft, -
                ",,"1603 S 9th Street - 2 bd, 1 ba with W/D hookups in unit!",https://corvallis.craigslist.org/apa/6052190763.html,$845,6052190763,,,,,Mar 20,
"
                    2br -
                    850ft, -
                ",,2 bedroom 1 bath apartment for rent near Salem Albany,https://corvallis.craigslist.org/apa/6052187846.html,$750,6052187846,,,,,Mar 20,
"
                    1br -
                ",,One Bedroom Available Now! Ask us about our Service Industry Discount!,https://corvallis.craigslist.org/apa/6052154610.html,$835,6052154610,,,,,Mar 20,
"
                    2br -
                    850ft, -
                ",,"Historical Home Tastefully Updated, Near Bryant Park. PETS WELCOME!",https://corvallis.craigslist.org/apa/6038512270.html,$795,6038512270,,,,,Mar 20,
"
                    360ft, -
                ",,COME GET ON OUR WAIT LIST TODAY!,https://corvallis.craigslist.org/apa/6047975723.html,$560,6047975723,,,,,Mar 20,
"
                    2br -
                    763ft, -
                ",,*Only a $300 Deposit is Required! Apply & Move Now!,https://corvallis.craigslist.org/apa/6052121179.html,$1100,6052121179,,,,,Mar 20,
"
                    475ft, -
                ",,"Reserve for 2017! Studio w/WIFI Included, NEXT DOOR TO OSU",https://corvallis.craigslist.org/apa/6044618236.html,$950,6044618236,,,,,Mar 20,
"
                    4br -
                    2500ft, -
                ",,4 bed 3 bath !!! PRE-lease TODAY!!,https://corvallis.craigslist.org/apa/6044619762.html,$3195,6044619762,,,,,Mar 20,
"
                    4br -
                    1430ft, -
                ",,BRAND NEW SUITES ~ 4 Bed/4 Bath ~ RESERVE NOW For SUMMER/FALL 2017,https://corvallis.craigslist.org/apa/6044618806.html,$3250,6044618806,,,,,Mar 20,
"
                    4br -
                    2552ft, -
                ",,4 bed 3 bath-NOW taking applications for fall semester!!!,https://corvallis.craigslist.org/apa/6025612160.html,$3195,6025612160,,,,,Mar 20,
"
                    2br -
                    957ft, -
                ",,2 bed 2 bath available for Pre-lease RESERVE NOW!!!,https://corvallis.craigslist.org/apa/6025622309.html,$1650,6025622309,,,,,Mar 20,
"
                    4br -
                    1430ft, -
                ",,4bed 4bath BRAND NEW LUXURY SUITES!!!,https://corvallis.craigslist.org/apa/6025625715.html,$3250,6025625715,,,,,Mar 20,
"
                    4br -
                    2552ft, -
                ",,"4 bd, 3 ba available for pre-lease RESERVE NOW!!!",https://corvallis.craigslist.org/apa/6012021444.html,$3195,6012021444,,,,,Mar 20,
"
                    4br -
                    1430ft, -
                ",,Secure today!!! 4 bed 4 bath BRAND NEW!!! Wifi included!!!,https://corvallis.craigslist.org/apa/6013346472.html,$3250,6013346472,,,,,Mar 20,
"
                    1br -
                    584ft, -
                ",,1 bed 1 bath- pre lease for fall semester NOW,https://corvallis.craigslist.org/apa/6013353162.html,$1200,6013353162,,,,,Mar 20,
"
                    4br -
                    1430ft, -
                ",,4bed 4bath BRAND NEW LUXURY SUITES!!!,https://corvallis.craigslist.org/apa/6028006063.html,$3250,6028006063,,,,,Mar 20,
"
                    3br -
                    1863ft, -
                ",,3 bed 2 bath duplex AVAILABLE 3/7/2017,https://corvallis.craigslist.org/apa/6027980021.html,$2300,6027980021,,,,,Mar 20,
"
                    2br -
                    957ft, -
                ",,2 bed 2 bath available for pre-lease fall semester!!!,https://corvallis.craigslist.org/apa/6011973971.html,$1600,6011973971,,,,,Mar 20,
"
                    4br -
                    1430ft, -
                ",,4 bed 4 bath BRAND NEW!!! PRE-lease TODAY!!!,https://corvallis.craigslist.org/apa/6017835051.html,$3250,6017835051,,,,,Mar 20,
"
                    1br -
                    584ft, -
                ",,1 bed 1 bath- pre lease for fall semester NOW,https://corvallis.craigslist.org/apa/6017864045.html,$1200,6017864045,,,,,Mar 20,
"
                    3br -
                    1863ft, -
                ",,3bd/2.5ba w/ attached 2 car garage,https://corvallis.craigslist.org/apa/6017992526.html,$2300,6017992526,,,,,Mar 20,
"
                    2br -
                    957ft, -
                ",,2 bed 2 bath available for pre-lease fall semester!!!,https://corvallis.craigslist.org/apa/6017879866.html,$1650,6017879866,,,,,Mar 20,
"
                    1430ft, -
                ",,4 bed 4 bath BRAND NEW!!! PRE-lease TODAY!!!,https://corvallis.craigslist.org/apa/6017887997.html,$3250,6017887997,,,,,Mar 20,
"
                    1br -
                    584ft, -
                ",,1 bed 1 bath- pre lease for fall semester NOW,https://corvallis.craigslist.org/apa/6011961397.html,$1200,6011961397,,,,,Mar 20,
"
                    1br -
                    661ft, -
                ",,1 bed 1 bath- pre lease for fall semester NOW,https://corvallis.craigslist.org/apa/6011966557.html,$1300,6011966557,,,,,Mar 20,
"
                    1br -
                    584ft, -
                ",,1 bed 1 bath AVAILABLE for pre-lease,https://corvallis.craigslist.org/apa/6027998148.html,$1200,6027998148,,,,,Mar 20,
"
                    475ft, -
                ",,DONT WAIT!!! Pre lease your studio TODAY!!! High speed wifi included!!,https://corvallis.craigslist.org/apa/6028019417.html,$950,6028019417,,,,,Mar 20,
"
                    2br -
                    978ft, -
                ",,2 bed 2 bath apartment RIGHT NEXT DOOR TO OSU!!!,https://corvallis.craigslist.org/apa/6028039788.html,$1650,6028039788,,,,,Mar 20,
"
                    2br -
                    978ft, -
                ",,2 bed 1 bath- reserve now for fall semester,https://corvallis.craigslist.org/apa/6028032095.html,$1550,6028032095,,,,,Mar 20,
"
                    1br -
                    661ft, -
                ",,1 bed 1 bath AVAILABLE for July pre-lease,https://corvallis.craigslist.org/apa/6025618757.html,$1350,6025618757,,,,,Mar 20,
"
                    2br -
                    960ft, -
                ",,Pet Friendly 2 Bedroom Duplex With Large Backyard ~ 692 NW Walnut,https://corvallis.craigslist.org/apa/6052086344.html,$1195,6052086344,,,,,Mar 20,
"
                    1br -
                    600ft, -
                ",,LEASE TAKEOVER ~ 1 Bedroom Apartment NEXT DOOR TO OSU - SECURE,https://corvallis.craigslist.org/apa/6010820957.html,$1150,6010820957,,,,,Mar 20,
"
                    3br -
                    1900ft, -
                ",,Short lease option!!! 3 bed 3 bath AVAILABLE NOW!!!,https://corvallis.craigslist.org/apa/6035732463.html,$1900,6035732463,,,,,Mar 20,
"
                    4br -
                    1430ft, -
                ",,BRAND NEW SUITES ~ 4 Bed/4 Bath ~ RESERVE NOW For SUMMER/FALL 2017,https://corvallis.craigslist.org/apa/6045212966.html,$3250,6045212966,,,,,Mar 20,
"
                    4br -
                    2500ft, -
                ",,4 bed 3 bath !!! PRE-lease TODAY!!!,https://corvallis.craigslist.org/apa/6045211363.html,$3195,6045211363,,,,,Mar 20,
"
                    4br -
                    1430ft, -
                ",,Luxury suites 4 bed 4 bath with full size washer/dryer & wifi,https://corvallis.craigslist.org/apa/6045250353.html,$3250,6045250353,,,,,Mar 20,
"
                    4br -
                    1430ft, -
                ",,RESERVE NOW for fall * 4 bed 4 full bath with wifi & washer/dryer,https://corvallis.craigslist.org/apa/6045235724.html,$3250,6045235724,,,,,Mar 20,
"
                    2br -
                    957ft, -
                ",,2 bed 2 bath available for pre-lease *RESERVE NOW*,https://corvallis.craigslist.org/apa/6045333578.html,$1650,6045333578,,,,,Mar 20,
"
                    1br -
                    584ft, -
                ",,1 bed 1 bath available for pre lease fall term 2017,https://corvallis.craigslist.org/apa/6045274089.html,$950,6045274089,,,,,Mar 20,
"
                    475ft, -
                ",,"Reserve for 2017! Studio w/WIFI Included, NEXT DOOR TO OSU",https://corvallis.craigslist.org/apa/6048215958.html,$900,6048215958,,,,,Mar 20,
"
                    4br -
                    1430ft, -
                ",,BRAND NEW SUITES ~ 4 Bed/4 Bath ~ RESERVE NOW For SUMMER/FALL 2017,https://corvallis.craigslist.org/apa/6048220939.html,$3250,6048220939,,,,,Mar 20,
"
                    4br -
                    1430ft, -
                ",,BRAND NEW SUITES ~ 4 Bed/4 Bath ~ RESERVE NOW For SUMMER/FALL 2017,https://corvallis.craigslist.org/apa/6048580091.html,$3250,6048580091,,,,,Mar 20,
"
                    4br -
                    1430ft, -
                ",,BRAND NEW SUITES ~ 4 Bed/4 Bath ~ RESERVE NOW For SUMMER/FALL 2017,https://corvallis.craigslist.org/apa/6048581861.html,$3250,6048581861,,,,,Mar 20,
"
                    4br -
                    1430ft, -
                ",,BRAND NEW SUITES ~ 4 Bed/4 Bath ~ RESERVE NOW For SUMMER/FALL 2017,https://corvallis.craigslist.org/apa/6048583385.html,$3250,6048583385,,,,,Mar 20,
"
                    4br -
                    1430ft, -
                ",,BRAND NEW SUITES ~ 4 Bed/4 Bath ~ RESERVE NOW For SUMMER/FALL 2017,https://corvallis.craigslist.org/apa/6048585881.html,$3250,6048585881,,,,,Mar 20,
"
                    2br -
                    839ft, -
                ",,Furnished 2-bed 2-bath condominium in Grand Oaks,https://corvallis.craigslist.org/apa/6052107344.html,$1695,6052107344,,,,,Mar 20,
"
                    2br -
                    856ft, -
                ",,Exquisite 2 Bedroom Near Downtown Corvallis ~ 345 SE Lilly #C,https://corvallis.craigslist.org/apa/6042158924.html,$925,6042158924,,,,,Mar 20,
"
                    4br -
                    1356ft, -
                ",,Newly renovated 4-bed 2-bath duplex in Corvallis,https://corvallis.craigslist.org/apa/6052101257.html,$1500,6052101257,,,,,Mar 20,
